,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
30,"Su madre secuestrada por la Padoga del Dios del hielo y la nieve a una edad temprana, Nian Bing creció viajando con su padre, evitando persecuciones. Un fatal día, fue separado para siempre de sus padres y heredo dos tesoros inmortales de ellos, la piedra de la Diosa del Hielo y la Nieve y la Piedra de la Llama Celestial, las cuales le permiten usar la magia del fuego y hielo en armonía, una hazaña sin precedente. ¡Cuidado por un antiguo chef de leyendas, una vez conocido como el Chef Demonio, crea una legendaria cocina mientras avanza por el camino de la venganza!",Shounen,MANHUA,The Magic Chef of Ice and Fire ( 2016 ),"Acción, Aventura, Magia, Fantasia, Comedia, Harem, Artes Marciales",9.22,FINALIZADO,https://otakuteca.com/images/books/cover/15128_TMOmanga100524.jpg,3.2K,2.8K,9.4K,529,330,251,99997038-505a-48da-85ba-6aa8f33208b2
31,Un chico normal y honesto de segundo año de universidad ¿Se transformo en una belleza rubia con grandes pechos? ¿Habrá más sucesos desafortunados esperándolo...?,Josei,MANHUA,Be a goddess today ( 2037 ),"Comedia, Género Bender, Romance, Sobrenatural, Drama, Girls Love, Superpoderes",9.00,CANCELADO,https://otakuteca.com/images/books/cover/6018ee14dfb18.jpg,351,2.1K,3.3K,701,425,448,a276bae8-cdca-4e3d-86ba-a42b50b0f117
32,"Renacido de una vida anterior. Muerto por un ataque al intentar conseguir su espada, Chu Yang retrocede 16 años en el tiempo. ¿Es esto una coincidencia? ¿Podrá cambiar su destino?",Shounen,MANHUA,Ao Shi Jiu Chong Tuan ( 2016 ),"Acción, Aventura, Comedia, Fantasia, Romance, Artes Marciales",8.76,FINALIZADO,https://otakuteca.com/images/books/cover/10521_TMOmanga191520.jpg,765,2.3K,6.9K,240,144,292,7f23883c-c406-4d89-89e1-c1a432c5be67
33,"Qin Yun, el príncipe heredero caído del Imperio Qin, hereda el legado marcial del mundo de los nueve soles. Con el magnífico legado marcial en su arsenal, inscribe técnicas insanas con las yemas de sus dedos, rodeado de enemigos y abundantes bellezas. Sin embargo, Qin Yun no está satisfecho, quiere ir más allá de los nueve soles hacia el gran infinito astral, para convertirse en un DIOS.",Shounen,MANHUA,Nine Sun God King ( 2018 ),"Acción, Aventura, Comedia, Artes Marciales, Misterio, Harem, Romance",6.75,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e518ac4cff15.jpg,989,3.3K,9.3K,1.7K,944,629,3f05b5b2-0502-4ce8-a86f-de5ebd501c8d
34,"En el mundo moderno de la cultivación, en todas partes es ley de la selva, todos se sienten inseguros. Después de salvar a una chica cultivadora, el guardia de seguridad Hiro Ma accidentalmente comienza el viaje de practicar la cultivación. Autor (es): Tianjin, Wei.",Shounen,MANHUA,My Cultivator Girlfriend ( 2015 ),"Aventura, Fantasia, Harem, Romance, Sobrenatural, Superpoderes, Artes Marciales",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5fb84be416873.jpg,412,2.1K,3.4K,826,486,301,7abb36fa-2a4b-4974-b9d1-1a7b386f34fa
35,"""La esposa es lo primero, el país es lo segundo y el marido es de menor importancia"" Toda su vida la pasó montando un caballo de guerra y cumpliendo meritorios servicios militares. ¿Pero cual es el resultado? Al final, fue dejado de lado una vez que cumplió su propósito. Por egoísmo, había favorecido a su consorte y descuidado a su esposa. Al final, quien estuvo a su lado fue la esposa que había descuidado durante 10 años ... Después de renacer, Jing Shao decidió arrepentirse y pasar una nueva hoja ... De pie fuera de la puerta mientras sostenía una almohada, Jing Shao miró al cielo. Primero debe arreglar su relación con su esposa. Jing Shao formó un puño y llamó a la puerta, ""Jun Qing, sé mis errores, déjame entrar!"" Manhua basado en la novela Danmei/BL del mismo nombre.",Shoujo,MANHUA,La esposa es lo primero ( 2020 - 2023 ),"Comedia, Drama, Reencarnación, Recuentos de la vida, Boys Love, Romance, Historia",9.75,FINALIZADO,https://otakuteca.com/images/books/cover/5f7f811fae8ce.jpg,3.2K,9.3K,14K,7.9K,2.7K,935,021da62b-733f-43b9-8aee-21731ded9660
36,"¡Actuar pretencioso es su pasatiempo! Al ser el jugador rico, está acostumbrado a gastar ""gastos"" alrededor de los demás en el nivel más bajo, teniendo el equipo y la armadura más extravagantes. ¡En el mundo de los juegos, no hay nada que no se pueda resolver con dinero!",Shounen,MANHUA,Rich Player ( 2019 ),"Ciencia Ficción, Realidad Virtual, Acción",6.50,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5d69f0adc621b.jpg,690,2.4K,6.2K,1.2K,604,425,05206ed3-3d18-44b8-81f3-1599995a8048
37,"Duwei muere y es reencarnado en otro mundo, dónde es considerado un retrasado. Tras hacer muchos esfuerzos por ser entrenado para convertirse en la cabeza de la familia Roland todos resultan en fallo y Duwei hará lo posible para obtener poder.",Shounen,MANHUA,The Law Of The Devil ( 2016 ),"Acción, Aventura, Fantasia, Magia, Artes Marciales, Reencarnación",9.17,CANCELADO,https://otakuteca.com/images/books/cover/14108_TMOmanga173745.jpg,811,2.6K,7.1K,516,301,452,22934d29-1fa6-466e-b948-87bae9ee4160
38,"Flores y hermanas de la escuela, hermanas hermosas y fuertes, maestras de belleza pura… Un estudiante ordinario de secundaria, por casualidad, consigue un bolígrafo mágico, y su vida ha cambiado desde entonces. Consiguiendo una vida muy colorida.",Shounen,MANHUA,School Flower Master,"Acción, Ecchi, Fantasia, Harem, Vida Escolar, Ciencia Ficción, Superpoderes",8.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e7f7b3f8b7ff.jpg,980,3.1K,7.6K,1.9K,1K,598,aa154d0d-e58b-4ddb-bee6-0b09db189bfb
39,"Un humilde esclavo adquiere una técnica mágica que le permitirá ser invencible e inmortal. Se establecieron tribus de inmortales, demoníacas, y surgieron generaciones asombrosamente talentosas, con cien escuelas de pensamiento. Las habilidades divinas son asombrosas y radiantes, destruyendo el cielo y la tierra con el chasquido de un dedo. Este es un mundo de fantasía vasto e ilimitado, lleno de cosas extrañas y misteriosas.Los fuertes pueden vagar por los cielos y la tierra, por encima de cualquier otro ser.",Shounen,MANHUA,El secreto de la vida eterna ( 2020 ),"Acción, Harem, Artes Marciales, Romance, Aventura, Fantasia",5.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5f287a14ca39e.jpg,572,1.8K,4K,975,601,283,7b1352bc-7992-4c2d-b03d-0bf7f5dc8519
